item_id	i_category	i_brand	r_complement	r_substitute
427	9	12	[1163, 176, 1498, 1242, 1342, 161, 2086, 1101, 1658, 736, 23, 652, 486, 1666, 1729, 207, 496, 1102, 643, 1080, 558, 1450, 487, 557, 1971, 1615, 22]	[1080, 1658, 23, 1163, 486, 1450, 176, 487, 557, 1242, 1666, 1102, 1209]
1369	3	13	[927, 1886, 2159, 45, 176, 1498, 1342, 1075, 1609, 1045, 23, 1331, 1796, 744, 798, 266, 471, 663, 230, 1400, 352, 204, 1662, 2017, 418, 1619, 1711, 973, 1382, 434, 411, 1389, 1289, 777]	[798, 1104, 787, 644, 663, 1787, 1796, 352, 292, 1075]
1796	3	13	[176, 1342, 1075, 1847, 1609, 736, 1977, 23, 1583, 486, 1899, 2081, 798, 266, 471, 572, 694, 663, 230, 1400, 850, 204, 1369, 643, 1662, 2017, 1619, 1711, 973, 1382, 1615, 1289, 994, 1332]	[798, 1104, 663, 1787, 352, 1075, 1369]
867	4	3	[1886, 1474, 45, 1163, 802, 1342, 1998, 1431, 1609, 321, 23, 789, 838, 698, 833, 208, 839, 344, 917, 1660, 550, 157, 572, 230, 964, 483, 1647, 1775, 834, 418, 2017, 1181, 20, 1449, 973, 411, 994, 1289, 837]	[1453, 834, 157, 1477, 838, 698, 833, 964, 1449, 839, 1790, 954, 1972, 1431, 1670, 837]
266	3	13	[1491, 1847, 32, 1045, 1583, 292, 798, 471, 352, 327, 1628, 1001, 1665, 179, 2017, 418, 211, 1619, 1753, 234, 899, 1382]	[]
698	4	3	[1886, 777, 2159, 2068, 2086, 1101, 977, 1133, 1461, 23, 980, 1505, 838, 208, 1779, 1331, 2310, 839, 344, 1790, 1577, 954, 744, 917, 867, 1413, 1912, 157, 572, 222, 964, 1448, 488, 2090, 834, 1662, 2017, 418, 558, 1598, 529, 411, 346, 1289, 1670, 837]	[1431, 1440, 838, 833, 839, 954, 1972, 917, 867, 157, 964, 1775, 1453, 415, 1598, 1449, 1427, 1670, 837]
833	4	3	[445, 2068, 811, 313, 1342, 1045, 736, 1576, 23, 486, 838, 698, 408, 208, 344, 2160, 954, 1000, 917, 868, 867, 1660, 1413, 157, 572, 837, 587, 204, 1122, 834, 418, 2017, 1181, 1449, 2006, 973, 411, 1289, 994, 960, 777]	[802, 1077, 1431, 838, 698, 839, 954, 1972, 917, 867, 157, 964, 1775, 1453, 415, 834, 598, 1670, 837]
1670	4	3	[445, 2298, 293, 1737, 157, 471, 2068, 698, 838, 408, 558, 1988, 529, 1448, 2092, 1427, 1174, 1101]	[1453, 445, 867, 415, 1440, 157, 698, 838, 837, 833, 964, 1449, 954, 1431, 1077, 1427, 917]
301	3	4	[1788, 122, 1063, 1768, 973, 856, 434]	[1768, 122, 1653]
838	4	3	[445, 1886, 2159, 1431, 1045, 1440, 23, 698, 833, 208, 954, 1000, 917, 815, 1660, 293, 157, 572, 837, 230, 1448, 643, 994, 457, 2017, 558, 1619, 1449, 2006, 973, 529, 411, 1427, 1389, 1289, 1670, 777]	[802, 2204, 1431, 1440, 698, 833, 954, 1424, 917, 1660, 1413, 157, 837, 964, 1552, 1453, 834, 1524, 529, 1449, 1427, 1670, 2151]
157	4	3	[1737, 1163, 2068, 721, 551, 859, 802, 161, 1125, 1101, 1431, 1440, 23, 1477, 838, 698, 839, 846, 744, 917, 867, 1660, 293, 1912, 733, 1413, 572, 1888, 587, 994, 1453, 415, 1843, 1656, 1889, 2017, 558, 1449, 529, 1615, 411, 1427, 1289, 1670, 837]	[1453, 867, 415, 1670, 1477, 838, 698, 837, 833, 964, 1449, 839, 954, 1431, 1775, 917]
846	2	3	[1737, 1163, 2068, 1884, 1235, 859, 2204, 1101, 7, 1440, 698, 408, 1073, 12, 377, 917, 868, 293, 1391, 1458, 140, 1722, 647, 2017, 558, 1427, 1670, 1177]	[647, 400, 293, 1737, 1235, 558, 859, 1073, 377, 1101]
839	4	3	[655, 451, 1886, 1474, 2159, 45, 1844, 811, 1342, 1298, 1609, 1045, 736, 23, 698, 208, 744, 1912, 550, 157, 572, 207, 1888, 230, 1400, 1243, 850, 204, 1843, 1662, 2017, 418, 21, 973, 1615, 434, 411, 994, 1289, 837]	[867, 1474, 157, 572, 612, 698, 833, 964, 973, 802, 411, 837]
244	4	5	[927, 445, 1927, 1869, 316, 915, 285, 1003, 2204, 977, 1646, 23, 217, 448, 1779, 2265, 1912, 972, 435, 1338, 483, 643, 418, 1181, 20, 2006, 973, 454, 994]	[972, 1927, 1869, 217, 1338, 270, 169, 1003, 454, 1813, 977]
415	4	3	[445, 655, 45, 1342, 1440, 23, 698, 208, 839, 104, 344, 954, 2160, 377, 744, 1000, 293, 1912, 733, 157, 572, 483, 850, 1722, 418, 2017, 558, 1789, 152, 1449, 973, 1448, 994, 1670, 837]	[1453, 867, 1077, 1440, 157, 698, 838, 837, 833, 598, 1449, 2355, 954, 1427, 1431, 1670, 917]
217	4	5	[445, 655, 1474, 1927, 1869, 1003, 977, 1461, 736, 23, 208, 1779, 2310, 744, 972, 572, 1338, 710, 1888, 483, 244, 1122, 1662, 1181, 1092, 20, 454, 994, 1289]	[972, 1927, 454, 1338, 169, 244, 1003, 1646, 1813, 977]
4	2	7	[341, 2217, 378, 1940, 316, 2218, 1605, 12, 1142]	[139, 378, 12, 465, 187]
1075	3	14	[451, 1847, 32, 736, 23, 1899, 1796, 798, 266, 572, 663, 1240, 204, 1369, 1662, 389, 1592, 1619, 1615, 411]	[798, 1104, 787, 1240, 644, 663, 1787, 1796, 352, 292, 1369]
54	10	15	[1957, 1306, 1862, 2190, 1793, 438, 485, 828, 836, 1469, 2138, 209, 1417, 1289, 1717, 900, 1334]	[]
943	9	12	[1367, 23, 2017, 1163, 486, 1107, 1971, 1879, 1571, 1666, 344, 643, 1342, 161, 1590, 1144, 1101]	[486, 487, 1879, 1571, 1639, 161, 1144]
566	2	10	[2159, 2078, 1856, 561, 176, 1498, 325, 531, 2086, 1067, 2164, 476, 692, 23, 652, 635, 1016, 1292, 1343, 507, 1268, 922, 720, 1705, 1759, 805, 460, 496, 508, 1842, 21, 1902, 2027, 22, 1289, 175]	[508, 476, 577, 2159, 2078, 652, 1759, 176, 1292, 507, 496, 274, 2086, 22, 922, 2027, 2164]
3	6	6	[736, 448, 1057, 1181, 2087, 125, 82, 271, 1934]	[1447, 1321, 68, 448, 2052, 1181, 1558, 136, 125, 82, 2311, 271, 1256, 960]
487	9	12	[2078, 1163, 1856, 561, 176, 1498, 2086, 1067, 1609, 476, 1045, 23, 652, 486, 1292, 1343, 1666, 507, 922, 427, 1759, 466, 460, 496, 508, 204, 1890, 1789, 557, 1619, 2027, 22, 175]	[1045, 427, 23, 486, 176, 1498, 1292, 557, 1666, 1879, 943, 507, 1571, 161, 2027, 22, 1144]
507	2	10	[2159, 2078, 1856, 561, 176, 325, 686, 531, 2086, 527, 1067, 476, 23, 559, 652, 635, 1016, 1292, 922, 720, 1759, 566, 460, 496, 508, 1148, 1902, 2027, 22]	[2159, 2078, 1856, 561, 176, 2086, 1067, 476, 577, 559, 635, 652, 1292, 922, 1759, 566, 460, 496, 508, 1902, 2027, 22]
66	6	8	[188, 147, 1177, 1755, 1592, 334, 2317, 407, 2135, 1458, 12, 622, 29, 140]	[]
8	11	0	[]	[312, 236, 611, 1032, 2416, 1447, 1558, 271, 1661, 68, 1193, 2108, 1013, 1614, 1738, 1321, 1934, 1586, 960]
209	10	15	[1957, 1306, 2190, 1781, 1793, 836, 828, 1469, 54, 1417, 1717, 2358]	[]
378	2	7	[1367, 2396, 1107, 316, 859, 1606, 2218, 1833, 2015, 7, 2131, 1527, 1940, 1881, 698, 1542, 1830, 2250, 184, 341, 1836, 1839, 2215, 173, 2092, 2398, 1142, 2217, 1592, 1766, 196, 1362]	[398, 1833, 7, 1910, 1881, 941, 184, 2065, 1380, 1839, 2404, 2092, 2398, 1142, 1297, 2017, 1592, 491, 538]
63	1	8	[445, 655, 451, 2159, 45, 1537, 1107, 1460, 176, 1342, 842, 1536, 161, 1998, 1067, 1045, 736, 23, 698, 1899, 208, 340, 255, 170, 744, 471, 207, 694, 1888, 230, 1400, 545, 1896, 483, 204, 1855, 643, 1628, 1662, 2017, 418, 2156, 20, 1532, 1619, 21, 973, 1382, 1190, 411, 994, 22, 1289, 777]	[]
43	7	0	[]	[1350, 1025, 130, 1128, 621, 1643, 1338, 336, 1040, 1359, 1646, 2, 977]
745	6	2	[151, 1988, 287, 1674, 187, 123, 448, 683, 575, 778, 1695, 852, 353, 166, 1205, 141, 1054, 1224, 1919, 172, 1002, 2017, 299, 20, 853, 95, 280, 1020]	[]
214	1	16	[2159, 1772, 176, 325, 1342, 1067, 1045, 23, 652, 635, 486, 698, 208, 507, 340, 2160, 922, 1633, 744, 769, 1912, 266, 230, 1400, 545, 1896, 850, 508, 204, 643, 994, 11, 1662, 2156, 298, 20, 1711, 2095, 973, 1382, 1615, 2027, 22, 1389, 1289]	[]
184	2	2	[2078, 2052, 176, 205, 2218, 1988, 2086, 1791, 23, 980, 486, 1881, 1292, 330, 507, 12, 922, 1633, 401, 694, 566, 549, 460, 2092, 496, 508, 1696, 1021, 1738, 2064, 2058, 1789, 1592, 1191, 491, 2162, 1902, 411, 2027, 22, 777]	[1297, 655, 2065, 1380, 378, 2017, 1592, 398, 491, 1826, 278, 507, 1401, 538, 1286]
841	12	17	[404]	[1285]
417	1	16	[451, 1886, 2159, 45, 802, 1342, 842, 161, 1998, 1067, 1045, 736, 23, 1343, 505, 1331, 1192, 744, 550, 471, 207, 230, 1400, 545, 214, 1647, 513, 204, 1855, 643, 1662, 418, 2156, 298, 20, 1619, 1711, 973, 1382, 411, 994, 1289]	[]
9	11	0	[]	[1627, 1601, 1606, 2036, 291, 548, 107, 239, 1267, 563, 2172, 1725, 2250, 224, 1607, 638, 62, 2404, 795, 1834, 1222, 1605, 361, 309, 953]
10	0	18	[]	[]
508	2	10	[2159, 2078, 1856, 561, 176, 205, 1498, 325, 686, 531, 2086, 527, 1067, 314, 2164, 476, 23, 652, 635, 25, 1292, 507, 922, 720, 1288, 1759, 1295, 566, 460, 496, 1296, 109, 1902, 2027, 22]	[2159, 2078, 652, 1856, 1759, 561, 176, 1292, 2027, 566, 507, 1902, 2086, 22, 922, 1067, 2164]
95	6	2	[1886, 216, 151, 136, 287, 123, 778, 1185, 852, 353, 166, 149, 141, 1021, 1054, 1224, 745, 1002, 299, 1191, 1939, 853, 280, 1020]	[]
81	10	0	[828, 54]	[]
15	13	0	[]	[817, 699, 156, 337, 1956, 2013, 365, 560, 76, 880, 926, 1954, 387, 394, 613, 1629, 203]
433	3	11	[1626, 281, 292, 1075, 696, 411]	[]
650	4	19	[1886, 1045, 1910, 65, 23, 304, 222, 1401, 1000]	[597, 1928, 65, 222]
908	3	11	[179, 266, 248, 1491, 1753, 2189, 894, 1847]	[122, 894, 179, 1768, 301, 1653]
834	4	3	[927, 1474, 45, 1844, 313, 1639, 802, 1342, 161, 1951, 1431, 1045, 23, 838, 698, 833, 208, 1666, 839, 1424, 744, 917, 867, 1660, 550, 157, 572, 1400, 204, 994, 1127, 2017, 1181, 1449, 2006, 973, 529, 411, 1427, 1389, 837]	[802, 1431, 838, 698, 833, 839, 1438, 917, 1348, 867, 1660, 1413, 157, 837, 1453, 1524, 529, 2006, 1449, 2151]
811	4	3	[927, 1886, 2159, 1474, 45, 802, 1342, 1045, 23, 1355, 839, 997, 744, 550, 572, 837, 1888, 230, 1562, 418, 973, 434, 411, 994, 2127, 777]	[2159, 1505, 1888, 1692, 957, 997]
146	3	4	[1045, 266, 179, 1107, 350, 322, 230, 704, 899, 758, 821, 388, 973, 1099, 1900]	[1583, 266, 350, 322, 704, 899, 758, 1099, 901, 741]
837	4	3	[927, 445, 45, 551, 802, 1342, 161, 1576, 23, 838, 208, 839, 668, 1660, 867, 157, 572, 230, 1826, 1400, 587, 483, 1453, 1112, 1890, 2017, 1181, 1532, 973, 411, 994, 1289]	[1453, 867, 1660, 415, 1670, 157, 838, 698, 833, 598, 964, 839, 802, 1972, 1775, 917]
122	3	4	[1122, 451, 175, 1063, 1768, 1796, 856, 845, 429, 301, 434, 1653, 327]	[1768, 1653, 301]
350	3	4	[266, 179, 1491, 704, 892, 758, 821, 1615, 146, 1099]	[1583, 266, 5, 2024, 704, 899, 758, 821, 146, 1099, 741]
1583	3	14	[1886, 161, 736, 698, 1899, 1796, 1845, 1099, 266, 572, 663, 388, 204, 741, 179, 2017, 1063, 1615, 994, 22, 1289, 837]	[798, 266, 322, 704, 899, 758, 146, 1099, 901]
981	2	3	[488, 2394, 321, 1628, 788, 164, 572, 558, 698, 176, 408, 173, 845, 346, 1431, 1101]	[]
32	3	20	[1491, 1050, 1827, 1045, 1876, 769, 798, 266, 1480, 204, 327, 179, 418, 1508, 298, 211, 1619, 1753, 973, 1615, 290]	[]
377	2	3	[45, 1163, 1807, 802, 1125, 1431, 1446, 23, 698, 846, 1790, 255, 922, 867, 293, 157, 856, 605, 1209, 1662, 2017, 418, 558, 20, 973, 1448, 346, 1289, 1670, 837]	[293, 551, 561, 1593, 686, 846, 1125, 922]
798	3	14	[1045, 736, 1665, 266, 621, 1619, 230, 1753, 1382, 352, 292, 1075, 335, 1618]	[1104, 787, 663, 1787, 1796, 352, 292, 1075, 1369]
802	4	3	[927, 1886, 45, 1844, 2087, 811, 1342, 161, 1471, 23, 448, 208, 1331, 839, 744, 917, 868, 1660, 572, 230, 1400, 483, 850, 418, 2017, 1181, 1532, 2006, 973, 411, 994, 1289, 837]	[1471, 1431, 838, 698, 833, 839, 832, 917, 1348, 1660, 1413, 157, 837, 1552, 244, 834, 1524, 529, 1449, 2151]
142	7	4	[1313, 1168, 2329, 1968, 1635, 310, 268, 2048, 2051, 458, 2323, 2200, 1608, 2263, 419, 277, 653, 1974]	[]
179	14	4	[908, 1886, 1069, 811, 1050, 32, 1045, 1583, 1515, 1099, 1039, 722, 266, 821, 741, 211, 1753, 899, 1382]	[1213, 1212, 1838, 1491, 234, 894]
421	15	21	[2159, 659, 1442, 2155, 2086, 1103, 735, 23, 478, 769, 474, 892, 849, 1628, 1579, 2158, 389, 103, 418, 1662, 2017, 20, 973, 411, 994, 1389, 1289]	[849, 659]
1381	3	22	[451, 1460, 1342, 161, 1827, 314, 1045, 736, 1899, 1900, 1039, 266, 207, 230, 388, 204, 2090, 411, 1122, 1665, 1619, 973, 1382, 1615, 1190, 434, 1289, 994, 1344, 1332]	[]
1638	16	23	[45, 1241, 313, 1951, 629, 924, 1446, 23, 2198, 1700, 744, 293, 673, 572, 674, 2067, 1329, 1480, 2247, 1599, 488, 1181, 1216, 20, 1532, 1711, 1027, 1922, 973, 994, 346, 1289]	[924, 1202, 1241, 2178, 1700, 674, 1216, 1027, 1329, 1807, 2247, 629, 488]
1122	3	24	[451, 1381, 1069, 1460, 1342, 161, 1536, 1653, 1827, 1609, 1045, 1740, 736, 23, 1899, 1731, 1900, 2081, 1039, 1912, 207, 694, 230, 1400, 1030, 204, 1855, 2016, 2090, 1665, 1960, 1890, 1619, 1711, 1382, 1615, 1190, 411, 1289, 994, 1332]	[451, 1045, 1740, 1960, 1460, 1899, 1619, 1900, 1190, 2292, 1274, 1653, 1039, 1827, 2090, 2016]
1827	3	24	[451, 2159, 1381, 1069, 1460, 1342, 161, 1536, 1653, 1045, 736, 23, 1899, 1331, 170, 1900, 1912, 471, 572, 207, 694, 1078, 230, 1400, 204, 2016, 2090, 411, 1122, 1665, 457, 1662, 2156, 20, 1619, 21, 973, 1382, 1615, 1190, 434, 1289, 994, 22, 1332]	[451, 471, 1460, 1899, 1190, 1731, 1900, 2016, 2090]
457	3	24	[451, 502, 1653, 1998, 1827, 1045, 1899, 1900, 744, 1039, 572, 435, 230, 643, 2090, 1122, 1665, 1619, 434, 411]	[1731, 1827, 1899]
2090	17	24	[451, 1886, 2159, 1381, 1460, 176, 1342, 1653, 1827, 1045, 23, 1899, 1544, 1900, 2081, 1039, 744, 471, 572, 207, 694, 230, 850, 204, 2016, 411, 1122, 1628, 1665, 418, 2017, 1619, 21, 1711, 973, 1382, 1615, 1190, 434, 1289, 994, 1332]	[451, 471, 1460, 1899, 1619, 1190, 896, 1900, 2016, 1827]
200	18	25	[1984, 451, 2159, 659, 1241, 1401, 1342, 1536, 1045, 23, 1900, 673, 1803, 674, 230, 1400, 391, 204, 488, 1665, 418, 20, 973, 1382, 1615, 434, 411, 346, 1389, 1289]	[1121, 2119, 1207, 408, 1087, 1548, 1160, 399]
408	18	26	[1330, 788, 1163, 1401, 1807, 1342, 422, 1101, 924, 23, 2043, 698, 12, 230, 1400, 391, 892, 2167, 981, 850, 605, 465, 204, 488, 1112, 418, 2017, 2178, 558, 1216, 21, 1027, 1615, 994, 346, 1289, 1736, 777]	[2119, 1207, 1087, 552, 1160, 399]
1665	3	24	[451, 1460, 1342, 1536, 1305, 2397, 1827, 1045, 736, 1899, 2103, 1883, 1900, 2081, 739, 798, 207, 1803, 230, 204, 2016, 1618, 2090, 1122, 1619, 986, 1615, 1190, 411]	[1045, 451, 1899, 1619, 1190, 1900, 1618]
2016	3	24	[451, 1381, 1069, 1460, 952, 1342, 1653, 1827, 2213, 1045, 736, 23, 1899, 170, 1900, 2081, 1039, 471, 572, 207, 230, 1400, 204, 1618, 2090, 1122, 1628, 1665, 2017, 2199, 1619, 973, 1382, 1615, 1190, 411, 1289, 994, 22, 1332]	[451, 1460, 1899, 1619, 1190, 1900, 1332, 1827, 2090]
1820	9	27	[451, 2159, 659, 45, 1107, 325, 1342, 161, 1998, 2321, 1045, 23, 486, 1899, 208, 1666, 1898, 1900, 2081, 744, 1694, 471, 207, 1888, 230, 1400, 204, 849, 1137, 643, 1122, 1628, 1665, 389, 2017, 418, 1619, 21, 1711, 973, 1828, 1615, 411, 994, 22, 1289]	[2321, 1694, 2324, 1137, 2081]
362	9	27	[451, 1886, 2159, 45, 1107, 1772, 176, 952, 2096, 1342, 161, 1998, 1045, 1464, 23, 208, 1331, 1845, 744, 1912, 207, 1888, 230, 1400, 204, 2074, 411, 418, 2017, 20, 21, 973, 1190, 434, 994, 1289]	[1400, 952, 434, 1190, 994, 2074, 1998, 744]
994	9	25	[655, 451, 1886, 45, 176, 1342, 161, 1536, 1998, 1609, 1045, 736, 23, 486, 208, 1331, 2160, 2334, 744, 550, 572, 207, 694, 230, 1400, 850, 204, 643, 411, 1890, 1662, 2017, 418, 20, 1532, 1913, 1619, 21, 1711, 973, 1615, 1190, 434, 1289]	[1886, 2096, 1342, 161, 1536, 1998, 1609, 1045, 736, 23, 2160, 2124, 744, 207, 572, 1400, 230, 204, 2074, 643, 418, 1662, 298, 20, 1532, 21, 973, 1615, 1289]
1287	9	25	[451, 1886, 2159, 45, 1844, 176, 952, 1342, 161, 1536, 1998, 1609, 1045, 736, 23, 486, 208, 1331, 744, 1912, 572, 207, 230, 1400, 388, 513, 204, 643, 2090, 1662, 2017, 418, 298, 1063, 1532, 1913, 1619, 21, 1711, 973, 411, 994, 22, 1289]	[207, 952, 1400, 973, 362, 1342, 994, 1998, 744]
619	19	12	[1367, 595, 747, 2121, 1905, 1987, 1933, 2147, 2340, 729, 1666, 2102, 344, 2071, 796, 2070, 483, 1794, 1076, 2348]	[2147, 1076, 1666, 344, 1987, 1933, 1962, 1384]
1889	20	3	[1342, 1536, 1998, 1609, 1045, 23, 980, 1019, 157, 572, 207, 674, 230, 1400, 1896, 605, 204, 643, 1843, 1890, 1598, 1619, 1561, 973, 434, 411, 994, 1289]	[]
1005	4	3	[2159, 176, 811, 1342, 23, 645, 744, 733, 572, 805, 1888, 1400, 1562, 508, 2017, 1842, 558, 1619, 973, 434, 411, 2127, 777]	[2159, 1288, 1505, 1888, 811, 1692, 957, 2338]
313	2	3	[1886, 2100, 45, 1884, 1401, 2096, 1342, 1431, 1045, 1202, 348, 833, 208, 377, 1000, 1660, 293, 550, 435, 837, 1400, 1329, 850, 1122, 1181, 558, 1619, 1449, 973, 411, 2151]	[293, 558, 705, 1884, 348, 859, 1329, 846, 1030, 377, 1101]
1788	16	3	[1886, 2159, 2078, 45, 176, 686, 399, 842, 2086, 1067, 314, 1609, 23, 652, 1016, 1292, 507, 922, 982, 1912, 733, 572, 805, 605, 850, 508, 2027, 643, 994, 1842, 1092, 20, 109, 21, 1922, 973, 1382, 2083, 22, 1289, 777]	[2159, 1288, 561, 176, 507, 605, 1692, 957, 508, 922, 777]
1804	4	3	[2159, 1474, 2078, 176, 325, 686, 2086, 527, 1067, 476, 23, 559, 1505, 652, 635, 1292, 507, 922, 769, 815, 572, 805, 1888, 566, 496, 508, 2027, 1063, 21, 1922, 1902, 2083, 22, 1289, 777]	[508, 476, 2159, 1288, 1505, 176, 1888, 805, 507, 1692, 957, 2086]
293	2	3	[2159, 1737, 313, 1420, 2204, 1431, 1101, 1202, 1440, 23, 1477, 980, 838, 705, 698, 779, 846, 1790, 377, 668, 1660, 157, 1329, 1225, 1030, 204, 488, 1453, 1960, 2017, 558, 1449, 529, 1427, 346, 1289, 1670, 777]	[698, 313, 1329, 846, 1420, 1030, 377]
1561	18	28	[1886, 747, 45, 176, 1342, 161, 1536, 1609, 1045, 23, 1494, 645, 208, 344, 1192, 255, 720, 1912, 207, 2070, 230, 1400, 483, 850, 204, 1662, 2017, 418, 2156, 298, 20, 1532, 1711, 21, 973, 1382, 1615, 411, 994, 335, 1289]	[661]
1288	4	3	[2159, 2078, 176, 1692, 2086, 1816, 1125, 1067, 2164, 635, 1292, 507, 815, 733, 898, 805, 1888, 1562, 957, 496, 508, 2027, 1030, 1842, 2136, 2083, 22, 777]	[2159, 1842, 2136, 507, 1692, 957, 508, 777]
786	4	3	[2159, 2078, 561, 176, 1498, 531, 2086, 1067, 314, 476, 23, 652, 635, 1016, 1292, 507, 922, 720, 1288, 1782, 1759, 805, 1888, 566, 1562, 2336, 496, 508, 1842, 557, 1902, 434, 2027, 22, 777]	[2159, 1288, 1505, 1759, 1842, 805, 1888, 2136, 507, 1692, 957, 508, 22, 2027, 777]
1006	17	29	[927, 1299, 445, 2195, 1886, 1844, 2294, 1342, 161, 1998, 1045, 2340, 23, 619, 208, 1666, 839, 344, 255, 744, 550, 572, 207, 435, 837, 1888, 1400, 204, 2017, 2290, 20, 1532, 1619, 973, 1382, 1081, 411, 994, 1095]	[1299, 2195, 550, 2281, 2340, 2294, 2290, 2348, 1081, 1208, 2279, 2287, 1226]
2294	17	29	[927, 1299, 445, 451, 2195, 1886, 1474, 45, 1844, 136, 1342, 161, 2279, 1298, 23, 2340, 217, 789, 248, 448, 208, 1331, 839, 1192, 744, 1912, 550, 572, 1006, 230, 1400, 513, 204, 1843, 1662, 418, 1181, 2290, 20, 1532, 1913, 973, 1615, 411, 994, 1289, 837]	[1299, 2195, 550, 2281, 2340, 1006, 2290, 2348, 1081, 1208, 2279, 2287, 1226]
138	9	30	[1385, 1080, 1658, 1628, 23, 919, 1102, 1342, 191, 1101]	[]
